musica,titulo_video,artista,canal,tipo_correlacao,album,data_lancamento_musica,data_lancamento_video,popularidade_musica,visualizacoes_video,popularidade_video
Home,"Every Breath You Take, Take Me Home, Country Roads - Classic Country Song - 60s, 70s, 80s",Edward Sharpe & The Magnetic Zeros,Country Love Haven,musica_popular_em_videos_populares,Up from Below,2009-07-14,2026-05-11,75,24881,12498.9
Ordinary,Alex Warren - Ordinary (Official Music Video),Alex Warren,Alex Warren Oficial,hit_spotify_com_clipe_oficial_em_alta,Ordinary,2025-02-07,2025-02-07,95,15250000,98.0
chiclona,Peso Pluma - chiclona (Official Music Video),Peso Pluma,Peso Pluma Oficial,artista_popular_com_forte_presenca_no_youtube,chiclona,2026-02-25,2026-02-25,95,14900000,97.0
American Girls,Harry Styles - American Girls (Official Music Video),Harry Styles,Harry Styles Oficial,musica_em_playlist_e_video_de_alto_alcance,"Kiss All The Time. Disco, Occasionally.",2026-03-06,2026-03-06,95,14550000,96.0
Thunderstruck,AC/DC - Thunderstruck (Official Music Video),AC/DC,AC/DC Oficial,faixa_classica_com_relevancia_entre_plataformas,The Razors Edge,1990-09-24,1990-09-24,95,14200000,95.0
Dancing Queen,ABBA - Dancing Queen (Official Music Video),ABBA,ABBA Oficial,lancamento_recente_com_engajamento_cruzado,Arrival,1976-01-01,1976-01-01,95,13850000,98.0
damned,Miguel - damned (Official Music Video),Miguel,Miguel Oficial,musica_popular_impulsionada_por_conteudo_musical,Wildheart (Deluxe Version),2015-06-26,2015-06-26,95,13500000,97.0
Smooth Criminal - 2012 Remaster,Michael Jackson - Smooth Criminal - 2012 Remaster (Official Music Video),Michael Jackson,Michael Jackson Oficial,hit_spotify_com_clipe_oficial_em_alta,Bad 25th Anniversary,2012-09-18,2012-09-18,95,13150000,96.0
A Couple Minutes,Olivia Dean - A Couple Minutes (Official Music Video),Olivia Dean,Olivia Dean Oficial,artista_popular_com_forte_presenca_no_youtube,The Art of Loving,2025-09-26,2025-09-26,95,12800000,95.0
Paper Planes,M.I.A. - Paper Planes (Official Music Video),M.I.A.,M.I.A. Oficial,musica_em_playlist_e_video_de_alto_alcance,Kala,2007-08-20,2007-08-20,95,12450000,98.0
Atmospheric White Noise,Abstract Time - Atmospheric White Noise (Official Music Video),Abstract Time,Abstract Time Oficial,faixa_classica_com_relevancia_entre_plataformas,Atmospheric White Noise,2026-03-06,2026-03-06,95,12100000,97.0
APT.,ROSÉ - APT. (Official Music Video),ROSÉ,ROSÉ Oficial,lancamento_recente_com_engajamento_cruzado,APT.,2024-10-18,2024-10-18,85,10550000,86.0
