id_video,titulo_video,canal,categoria,visualizacoes,likes,comentarios,engajamento,data_publicacao,regiao
7sMsuQTna4A,Baby Dance - Scooby Doo Pa Pa (Music Video 4k HD),Release Music Group,10,473688,1596,36,0.0034,2026-05-11,US
atJwRQ1zdjQ,mgk & Wiz Khalifa - girl next door (Official Music Video),mgk,10,470163,41352,3256,0.0949,2026-05-12,US
TwVLCPePLzo,انتو تقولو اي وحده فيهم؟🧐 #music #اكسبلور #blackpink #موفكرتي #lifeisbutadream #مامامو #kpop #bts,- 𝗟𝗜𝗞𝗘 𝗗𝗔𝗡𝗢 ּ ֶָ֢.,22,166907,1537,132,0.01,2026-05-11,US
7xmoy9H-zAM,"Country Music Mix 2026 ✨ Morgan Wallen, Luke Combs, Jason Aldean, Luke Bryan, Chris Stapleton",Country Songs Collection,10,13509,55,1,0.0041,2026-05-11,US
9nMeEJ_Q2ds,Beautiful Songs 2026 🎵Some Beautiful Love Songs ~ Heartfelt Melodies | Love Songs Playlist 2026,Dreamy Melodies,22,24930,90,3,0.0037,2026-05-12,US
8q70YvixKx4,"Best Of 70s Soft Rock Ballads Playlist - James Taylor, Jim Croce, Fleetwood Mac, Eagles, Chicago,...",70s Songs,10,775142,11080,444,0.0149,2026-03-20,US
6ql7ImTjcwc,"Spotify Trending Hits 2026 🎧 Taylor Swift, Justin Bieber, Ariana Grenade, Lady Gaga, Bruno Mars",Deep Horizon,10,41770,113,8,0.0029,2026-05-11,US
MY4YJxn-9Og,Marc Anthony - You Sang To Me,marcanthonyVEVO,10,264144611,822929,33893,0.0032,2009-10-03,US
fyC-5y3BcI4,Unforgettable Oldies 60's & 70's 🕰️ Songs That Bring Back Memories Timeless Hits,Hidden Vibes,22,754789,6373,156,0.0087,2026-03-17,US
LT1dErF6teA,2 Hours Stress Relief Music | 432Hz Indian Classical Raga for Anxiety Calm,Mystic Notes,10,1276702,0,445,0.0003,2025-12-27,US
opPIJT8nT2I,"Best Soft Rock Songs Of All Time 📀 Lionel Richie, Rod Stewart, Elton John, Phil Collins, Chicago",Soft Rock Memories,10,1460456,9140,203,0.0064,2026-04-16,US
MI9ZpIKgyf0,Ed Sheeran - Azizam (Official Music Video),Ed Sheeran,10,44314102,328523,37550,0.0083,2025-04-17,US
ytk7Wn3WE9o,slow rock love songs collection 70s 80s 90s | nonstop slow rock pinoy medley 🎹 best luamang tugtugin,Slow Rock Ballads,22,200947,664,25,0.0034,2026-05-09,US
XqOOBr8xiSc,Real Voice Vs Autotune (part 12) #viral #music #singing #autotune #shorts,Melora,10,71566,0,23,0.0003,2026-05-10,US
MtJ2keQWvLE,Pampatulog OPM Love Songs 80s & 90s Medley 🔊 Relaxing Filipino Music for Deep Sleep,Melodies Love ♥,22,630483,2292,56,0.0037,2025-11-17,US
Pt-bUG0ZRJo,Who’s Bad 🕶️ Michael Jackson on TinkerBeat Music Box 🎶 Satisfying ASMR,TinkerTwist - 3D Printing,24,817976,11079,55,0.0136,2026-05-12,US
gOsM-DYAEhY,Imagine Dragons - Whatever It Takes (Official Music Video),ImagineDragonsVEVO,10,1072464240,6004779,121969,0.0057,2017-10-12,US
az5FSZzm-k8,Another Day Old (Official Lyric Video) - Eddie Dalton,Eddie Dalton,22,3935347,62116,2984,0.0165,2026-03-20,US
zDy8K0o_ksA,Alok & Alan Walker - Headlights (feat. KIDDO) [Official Music Video],Alok,10,42481777,566014,12448,0.0136,2022-02-28,US
nGxr8-l0vHI,Rod Wave - Dark Clouds (Official Music Video),RodWave,10,268948054,1225386,22086,0.0046,2019-11-21,US
roMd7srngvI,How old are you? #song #music #rap #hiphop #lyrics #musicanylistz #shorts,Ye Htet Aung ,10,7447769,245423,14980,0.035,2025-07-08,US
HT32W07i-80,Love Melody Collection 2026 💕 Songs That Stay In Your Heart | Romantic Emotional Playlist,Heartbeat Memories,22,26605,218,10,0.0086,2026-05-11,US
KRK1lhIUBiE,Raud-OVER Official Music Video @1mirs,Shelovesraud,24,607331,20559,2224,0.0375,2026-04-13,US
ghEpW5vgCJc,Good Kid - Cicada (Official Video),Good Kid,10,5501859,159762,4666,0.0299,2026-03-20,US
DJsEdPBuFsc,FattMack - Ring Ring Ring [Official Music Video],FattMack,10,1691581,20951,834,0.0129,2026-02-20,US
2VKJ79yLDnc,Zeddy Wills Many Hit Songs,Fiscoos elevated music opinions ,10,7765280,244213,1508,0.0316,2025-07-29,US
EvdzUug6x6c,"Every Breath You Take, Take Me Home, Country Roads - Classic Country Song - 60s, 70s, 80s",Country Love Haven,10,24881,172,34,0.0083,2026-05-11,US
2zToEPpFEN8,SAINt JHN - Roses (Imanbek Remix) (Official Music Video),SAINt JHN,10,389000883,3916929,76297,0.0103,2020-03-06,US
q8oc8ehzE_w,KAAMIL (Official Music Video): Sachet-Parampara | Kausar Munir | Latest Hindi Song | Bhushan Kumar,T-Series,10,1020397,5116,1225,0.0062,2026-05-13,US
2Gyn1a9s_SQ,Rumi y las chicas abrieron portales del tiempo #kpopdemonhunters #kpop #music,Dream Lags,24,1115099,21488,73,0.0193,2026-05-09,US
zpJ8UXML7ws,Miss Me (ROBLOX Music Video),Khayri,20,1011009,14448,3398,0.0177,2025-11-27,US
iu70iC7yFts,Malcolm Todd - Earrings (Lyrics),Vibe Music,10,1319781,10745,315,0.0084,2026-04-08,US
nh__MlfLSzo,Power - LittleMix (Thekksisters cover) #shorts #music #singing #cover,Music_box40,22,26978688,334642,6897,0.0127,2025-01-24,US
jj9VPMJadZI,Saranggola - Ben & Ben 🎶 Best OPM Hits 2026 💖 Top Tagalog Songs on Spotify & YouTube Philippines,OPM NOW!,22,17933,54,3,0.0032,2026-05-12,US
ngORmvyvAaI,"Shawn Mendes, Camila Cabello - I Know What You Did Last Summer (Official Music Video)",ShawnMendesVEVO,10,435136892,4247533,154228,0.0101,2015-11-20,US
ralim77u5qg,Jive🔥😍 #dance #dancer #ballroomdance #music #社交ダンサー #missuniverse #shorts,Sofiia,22,73506,2105,63,0.0295,2026-05-11,US
R2KeQqLzr00,"Kato & Jon - Turn The Lights Off (UNKNX, Zylarion, Adrian Vale) TRANCE VERSION - Elite Trance Music",ELITE TRANCE MUSIC,10,32606675,242812,2182,0.0075,2025-12-22,US
IdA7e8bZ_rw,100% You and i#Youandi #cover #singer #music #song,ViralVarietyVault,22,14485689,489370,4473,0.0341,2025-06-03,US
2wI4_-aMSk0,YoungBoy Never Broke Again - Bruce Wayne [Official Video],YoungBoy Never Broke Again,10,3600499,116277,7589,0.0344,2026-04-15,US
BxPNKzUY2ts,MOUN PA KONN RENMEN KONSA- Loutchina Décius (Official video),Loutchina Music ,22,2489841,45830,3763,0.0199,2026-02-10,US
SDd3AyocuxU,100%heartattack#heartattack #cover #singer #music #song,ViralVarietyVault,22,12098022,371058,3159,0.0309,2025-06-16,US
DMJ_CiE4J_M,Baby Dance - Scooby Doo Pa Pa (Music Video 4k HD),Release Music Group,10,59134,188,4,0.0032,2026-05-09,US
0fxU_XmgvaM,"Jujutsu Kaisen Season 3 - Opening FULL ""AIZO"" by King Gnu (Lyrics)",Jamong,10,6910380,64606,2198,0.0097,2026-01-08,US
MS7I2kVp0bw,"Johnny Drille, Ayra Starr & Young Jonn - Colorado (Official Music Video)",Johnny Drille,10,2538077,29843,1290,0.0123,2026-04-17,US
yFmkfJOOzE4,Singers Sing Their Songs Without Autotune (part 4) #viral #autotune #music #singing #WithoutAutotune,Melora,10,8869533,385272,4068,0.0439,2025-10-08,US
kozCaYdKD8M,Happy Mother's Day : Tribute to Mothers | Non-Stop Playlist,polyeastrecords,10,185804,1141,73,0.0065,2026-05-09,US
PLP9t_rj7oc,"Mia Guisse, VJ - Sama Xool (Clip Officiel)",Mia Guisse,10,8295223,70744,1814,0.0087,2026-04-07,US
8r_hlKAhuU4,GREEN HANDED - Adley's Leprechaun Rap Song!! Official Music Video!  St. Patricks day traps for Niko,Spacestation Animation Shorts,1,2800412,6718,380,0.0025,2025-03-12,US
DMsVvu2fjaY,KATSEYE - PINKY UP (Lyrics),7clouds K-pop,22,141360,849,43,0.0063,2026-05-10,US
I9qOXT3VWW4,Fresh Morning Vibes | Feel Good Chillout & Deep House Music 2026,Ocean Pulse,10,110339,1047,38,0.0098,2026-05-09,US
