id_video,titulo_video,nome_canal,categoria,visualizacoes,likes,comentarios,engajamento,regiao,data_publicacao
ls9HKZxwVc4,Relax Gently with Warm Morning Jazz Music ☕ Cozy Coffee Shop Ambience & Smooth Piano Jazz Music,Relax Jazz Cafe,22,5412,446,0,0.0824,US,2026-05-07
Y953EmGss4Y,My Daughter Quits YouTube (Official Music Video) ft/ Piper Rockelle,Jordan Matter,24,40324594,487412,29498,0.0128,US,2021-09-04
3KQjOE1AuN4,Malcolm Todd - I Saw Your Face (Official Video),MalcolmToddVEVO,10,1006312,52584,2185,0.0544,US,2026-04-24
QMP-o8WXSPM,Love On The Brain,Rihanna - Topic,10,428408511,2880288,11592,0.0068,US,2018-07-26
fxA4kGIxcAE,"Ddboy, Melanin Boy - Carry Me (Official Music Video)",Melanin gusto,22,67194,10884,1500,0.1843,US,2026-05-07
SDTZ7iX4vTQ,Foster The People - Pumped Up Kicks (Official Video),fosterthepeopleVEVO,10,1234509087,9869990,521061,0.0084,US,2011-02-05
dvgZkm1xWPE,Coldplay - Viva La Vida (Official Video),Coldplay,10,1049141253,5983025,316327,0.006,US,2008-08-04
9Sg5PcBL2fc,"Eddie Peregrina, Victor Wood - Greatest Love Song 80s 90s - Hist Full All Time",Lucy Cover,22,13605,46,2,0.0035,US,2026-05-05
Zzyfcys1aLM,The Wallflowers - One Headlight (Official Music Video),TheWallflowersVEVO,10,358632079,1416426,43430,0.0041,US,2009-10-05
hX0aI5Jz8i8,BigXthaPlug - Texas (Official Music Video),BigXthaPlug,10,91412125,631895,16399,0.0071,US,2022-11-25
bzbH9pTz_rI,Josiah Queen - judas (Official Lyric Video),Josiah Queen,10,1957120,45331,3158,0.0248,US,2026-03-20
44cICamRLwk,TBH,PARTYNEXTDOOR - Topic,10,31938971,186202,1202,0.0059,US,2022-12-30
r6L-GUOAhGo,Bring Me The Horizon - Doomed (MAPHRA Vocal Cover),MAPHRA,10,19900198,526806,34569,0.0282,US,2026-01-31
AaFEhDzc0NQ,music in 2026 has been WILD... 😭,MusicPalace,24,124401,2144,131,0.0183,US,2026-05-06
QcIy9NiNbmo,Taylor Swift - Bad Blood ft. Kendrick Lamar,Taylor Swift,10,1683004682,10367537,475718,0.0064,US,2015-05-18
wQiz17AKhjM,AIZO,King Gnu - Topic,10,28255960,253898,4922,0.0092,US,2026-01-08
G-fCOEZnnTs,Gabriela,KATSEYE - Topic,10,199551776,1837907,16957,0.0093,US,2025-06-20
Cw1qnwbIEFY,Fifth Harmony - Worth It (Lyrics) ft. Kid Ink,7clouds,10,63468663,318727,4394,0.0051,US,2021-10-06
vZi8ET9k11g,d4vd - Feel It (Official Music Video),d4vdVEVO,10,53400839,692112,34907,0.0136,US,2024-05-16
fyvJ2wCTpas,The Long Faces - Jane! (Lyrics),BangersOnly,10,2266520,33178,3500,0.0162,US,2026-03-23
sJ0yPYUnLlE,UPSIDE DOWN (A Hazbin Hotel Song) - Black Gryph0n & Baasik,Black Gryph0n,10,35472893,514729,15280,0.0149,US,2025-10-31
if9WTjV4D20,"Jazz Relaxing Music for Work, Study ☕ Warm Morning with Smooth Jazz Music at Coffee Shop Ambience",Relax Jazz Cafe,22,46192,1444,2,0.0313,US,2026-05-06
PV53JGm3G04,Vivir Sin Ti | 84 | Camilo Sesto | Short #short #baladas #viejitas   #musica #music,RLC LIKES,24,10619,320,9,0.031,US,2026-05-06
PeB214QMAvg,Bakit Tanong Ko Sayo | Aegis Full Album | Aegis Non-Stop Playlist 2026 | Pampatulog Nonstop OPM,Nice Songs,10,38250,179,9,0.0049,US,2026-05-06
mCf0of7D9m8,Most Streamed Michael Jackson Songs,AaronTheHipHopGuy,10,33038,1030,54,0.0328,US,2026-05-04
dxozkx_mibg,2000s ultimate nostalgia vibes mix ~throwback playlist,Roseate Summer,22,854789,6483,119,0.0077,US,2025-12-05
LsoLEjrDogU,Bruno Mars - Finesse (Remix) (feat. Cardi B) (Official Music Video),Bruno Mars,10,943546761,6603311,263837,0.0073,US,2018-01-04
ex7JTWDbH1A,12 HOURS⚡TOP MOST VIRAL PHONK/FUNK 2026 SONGS🎵 PLAYLIST,Vaddy Daddy,10,4740574,33271,2413,0.0075,US,2026-03-02
D_WllqC_kVA,NACHO ESTRELLA X JEY ONE X ALOFOKE MUSIC X DIANA LA MISS - HIJA DE LA NOCHE,AlofokeMusicSounds,10,570946,118450,9191,0.2236,US,2026-05-07
J_n01uvyhI8,Machine Gun Kelly ft. blackbear - my ex's best friend (Official Music Video),MGKVEVO,10,147021157,1215703,35543,0.0085,US,2020-08-26
S0lx-sIjbHA,AURA = ♾️ | 1 HOUR VIRAL AURA MUSIC PLAYLIST 2026 🔥 TRENDING PHONK HITS,EMPIRE PHONK,10,112650,980,55,0.0092,US,2026-05-06
yURRmWtbTbo,Michael Jackson - Don't Stop 'Til You Get Enough (Official Video - Upscaled),michaeljacksonVEVO,10,491726528,3267234,126056,0.0069,US,2009-10-03
d0vU4xThRWI,Sidney Gish - Imposter Syndrome,cool music for cool people,10,3067820,65836,1938,0.0221,US,2018-01-24
lnivej3RMlc,EJ Jones - Gas Station Love (Official Music Video),EJ Jones,22,8386620,214356,9495,0.0267,US,2025-09-26
VrChRBLw3OQ,STELLA LEFTY - Boston (Lyrics),NewMelody,10,837268,6542,111,0.0079,US,2026-04-06
AaOSDhxMia8,Can you spell SAUSAGE? 🌭🎹 #piano #pianoteacher #pianolessons #pianostudent #classicalmusic #music,Muso Method Pedagogy,27,288265,1817,12,0.0063,US,2026-05-06
bbdsIR4UHDg,"Maroon 5, Wiz Khalifa – Payphone (Lyrics)",Latin City,10,29604329,131199,5788,0.0046,US,2024-08-22
BwYRQc_4Bdw,Katy Perry - The One That Got Away (Lyrics),Vibe Music,10,6679646,20005,393,0.0031,US,2026-04-05
KQ7FpYDQLOI,Rudeboy - Reason With Me [Official Video],RudeboyVEVO,10,294197094,1090076,43454,0.0039,US,2019-04-15
agneRtEe-t8,Ariana Grande - bye [Altare Remix],Altare,22,32005185,331087,2717,0.0104,US,2024-10-18
Lt2wjJlP2N4,T-Pain - Bartender (Official HD Video) ft. Akon,TPainVEVO,10,459062245,1778946,35389,0.004,US,2009-11-15
o1YjuTtBEXE,Cool for the Summer (hardstyle remix + SUPER SLOWED),LXMINAL,22,15417247,190295,2418,0.0125,US,2025-12-02
U5rLz5AZBIA,"Timbaland - The Way I Are ft. Keri Hilson, D.O.E., Sebastian",TimbalandVEVO,10,857310431,3492611,80547,0.0042,US,2009-06-17
r9wj7Dwe--E,"Best Pop Songs 2026 🌴 The Weeknd, Ed Sheeran, Bruno Mars, Adele, Selena Gomez, Maroon 5",Deep Horizon,10,14339,42,1,0.003,US,2026-05-06
roMd7srngvI,How old are you? #song #music #rap #hiphop #lyrics #musicanylistz #shorts,Ye Htet Aung ,10,7362388,243851,14878,0.0351,US,2025-07-08
VkknKTLtDfA,Halsey - Bad At Love (Lyrics),Unique Sound,10,872198,4204,141,0.005,US,2025-09-05
nh__MlfLSzo,Power - LittleMix (Thekksisters cover) #shorts #music #singing #cover,Music_box40,22,26508808,330023,6813,0.0127,US,2025-01-24
HAZVD6XcRRo,Libu-Libong Buwan - Top OPM Songs Philippines 2026 🌟 Best New Tagalog Love Songs 🎤 Hot Hits OPM,OPM NOW!,22,17757,45,2,0.0026,US,2026-05-05
PLP9t_rj7oc,"Mia Guisse, VJ - Sama Xool (Clip Officiel)",Mia Guisse,10,7068725,67456,1755,0.0098,US,2026-04-07
GCdwKhTtNNw,The Neighbourhood - Sweater Weather (Official Video),TheNeighbourhoodVEVO,10,973720319,9433710,186891,0.0099,US,2013-03-05
